omny.fm へのリンク,日付,タイトル,コメント,MC,出演者1,出演者2,出演者3,音源編集,備考・メモ・作業された方のお名前(ハンドルネーム可)
https://omny.fm/shows/asahi/adc67b22-4e16-4df7-9c5e-acf601732117,"Fri, 02 Apr 2021 21:00:00 +0000",（楽屋裏）被害者を支援すること　記者として、当事者として,,真田嶺,江向彩也夏,"神田大介,音声ディレクター,コンテンツ編成本部",,,ネジート
https://omny.fm/shows/asahi/d2087f8f-e499-4eb1-8ecd-acfc0170de17,"Sat, 03 Apr 2021 21:00:00 +0000",（楽屋裏）表現をすれば、批判はある　そのとき何を考えますか,,真田嶺,江向彩也夏,"神田大介,音声ディレクター,コンテンツ編成本部",,,ネジート
https://omny.fm/shows/asahi/16-1,"Sun, 04 Apr 2021 21:00:00 +0000",#16-1 令和おじさんが首相になると決めた日　記者は聞いていた,,"神田大介,音声ディレクター,コンテンツ編成本部","今野忍,政治部,野党取材キャップ",,,,ネジート
https://omny.fm/shows/asahi/16-2,"Mon, 05 Apr 2021 21:00:00 +0000",#16-2 「常勝関西」公明党のプライド　都構想で何が起きたのか,,"神田大介,音声ディレクター,コンテンツ編成本部","今野忍,政治部,野党取材キャップ",,,,ネジート
https://omny.fm/shows/asahi/16-3,"Tue, 06 Apr 2021 21:00:00 +0000",#16-3 党本部に行かない枝野代表　定例会見、月イチで大丈夫？,,"神田大介,音声ディレクター,コンテンツ編成本部","今野忍,政治部,野党取材キャップ",,,,ネジート
https://omny.fm/shows/asahi/b8388a2c-68ef-4a3b-9a7f-ad0200700678,"Fri, 09 Apr 2021 21:00:00 +0000",（楽屋裏）スポーツ記者採用、でしたよね？　金島淑華と怒濤の日々,,真田嶺,"金島淑華,東京スポーツ部","神田大介,音声ディレクター,コンテンツ編成本部",,,ネジート
https://omny.fm/shows/asahi/eb19c40d-6a94-4713-9728-ad020070065d,"Sat, 10 Apr 2021 21:00:00 +0000",（楽屋裏）アンチ巨人の巨人担当　スポーツ記者の悲喜こもごも,,真田嶺,"金島淑華,東京スポーツ部","神田大介,音声ディレクター,コンテンツ編成本部",,,ネジート
https://omny.fm/shows/asahi/14-11,"Sun, 11 Apr 2021 21:00:00 +0000",#14-11 帰りなんいざ、福島へ　記者は家族を「取材」した,,真田嶺,"大内悟史,東京本社文化くらし報道部","神田大介,音声ディレクター,コンテンツ編成本部",,真田嶺,ネジート
https://omny.fm/shows/asahi/14-12,"Mon, 12 Apr 2021 21:00:00 +0000",#14-12 被災者ではない私たち　どう被災地と向き合えば,,真田嶺,"大内悟史,東京本社文化くらし報道部","神田大介,音声ディレクター,コンテンツ編成本部",,真田嶺,ネジート
https://omny.fm/shows/asahi/14-13-3-11-1,"Tue, 13 Apr 2021 21:00:00 +0000",#14-13 （3.11特別編1）ぼくの故郷は、被災地なのか　耳を通して現場を巡る,,真田嶺,"大内悟史,東京本社文化くらし報道部",,,,ルポなので、真田さんはMCではないですが、オープニングとエンディングを紹介されています。必要に応じて編集してください。Noriko Hiramatsu
https://omny.fm/shows/asahi/14-14-3-11-2,"Wed, 14 Apr 2021 21:00:00 +0000",#14-14 （3.11特別編2）原発は、明るい未来を創り出す　ぼくは信じていた,,真田嶺,"大内悟史,東京本社文化くらし報道部",,,,ルポなので、真田さんはMCではないですが、オープニングとエンディングを紹介されています。必要に応じて編集してください。Noriko Hiramatsu
https://omny.fm/shows/asahi/14-15-3-11-3,"Thu, 15 Apr 2021 21:00:00 +0000",#14-15 （3.11特別編3）将来に、夢が持てない　震災が奪ったものは命だけでなく,,真田嶺,"大内悟史,東京本社文化くらし報道部",,,,ルポなので、真田さんはMCではないですが、オープニングとエンディングを紹介されています。必要に応じて編集してください。Noriko Hiramatsu
https://omny.fm/shows/asahi/14-16-3-11-4,"Fri, 16 Apr 2021 21:00:00 +0000",#14-16 （3.11特別編4）復興とは何なのか　姿を変えた故郷、ともる小さな灯り,,真田嶺,"大内悟史,東京本社文化くらし報道部",,,,ルポなので、真田さんはMCではないですが、オープニングとエンディングを紹介されています。必要に応じて編集してください。Noriko Hiramatsu
https://omny.fm/shows/asahi/9ae588c8-03bc-4bac-ac40-ad080176cddc,"Sat, 17 Apr 2021 21:00:00 +0000",（楽屋裏）子育てとの両立、ハードル高すぎ…　女性スポーツ記者の実情,,真田嶺,"金島淑華,東京スポーツ部","神田大介,音声ディレクター,コンテンツ編成本部",,,
https://omny.fm/shows/asahi/17-1-4-25,"Sun, 18 Apr 2021 21:00:00 +0000",#17-1 どうなる「4月25日の政局」　あの市議選は前兆なのか,,神田大介,"布田一樹,北九州総局",,,,
